Wall time,Step,Value
1701723118.9896173,3422,73.5
1701723122.3664963,3426,80.25
1701723137.304692,3434,80.5
1701723141.6899354,3439,74.75
1701723154.4777243,3454,81.0
1701723168.3764834,3461,79.0
1701723174.4076743,3468,82.75
1701723186.4144506,3482,80.5
1701723187.2523494,3483,76.0
1701723195.9657154,3484,78.0
1701723196.8147037,3485,80.0
1701723201.9808693,3491,81.0
1701723203.6848617,3493,84.0
1701723209.632203,3500,81.25
1701723212.1630678,3503,83.0
1701723229.209082,3514,79.25
1701723239.471018,3526,79.0
1701723263.5946202,3544,78.5
1701723268.690544,3550,80.5
1701723275.4743457,3558,78.5
1701723289.9644349,3566,80.25
1701723292.5395257,3569,77.5
1701723297.6426818,3575,80.75
1701723298.50158,3576,76.75
1701723307.7873337,3587,79.5
1701723316.3382843,3588,80.0
1701723326.7634795,3600,78.25
1701723337.8229191,3613,77.25
1701723346.5232785,3614,88.5
1701723347.4072816,3615,81.0
1701723348.2537334,3616,81.25
1701723360.220822,3630,78.25
1701723389.063555,3654,75.5
1701723391.5972333,3657,79.75
1701723393.312416,3659,78.5
1701723395.0192542,3661,79.0
1701723397.5704849,3664,79.75
1701723409.414045,3668,78.5
1701723411.9948657,3671,81.0
1701723412.8641188,3672,82.75
1701723428.1694841,3690,83.0
1701723444.8264074,3700,80.5
1701723455.1025438,3712,76.25
1701723459.3612556,3717,77.0
1701723468.2731848,3718,82.75
1701723480.2534943,3732,78.0
1701723499.2793252,3745,84.5
1701723500.1611507,3746,82.75
1701723501.8557215,3748,82.0
1701723502.7194257,3749,81.0
1701723505.2810712,3752,83.25
1701723506.1235197,3753,82.0
1701723506.9879723,3754,85.25
1701723512.946313,3761,81.5
1701723514.628228,3763,82.5
1701723537.045868,3780,75.5
1701723538.7435079,3782,87.25
1701723539.5842562,3783,77.75
1701723542.9910522,3787,80.75
1701723545.5272853,3790,81.25
1701723573.570721,3813,81.25
1701723590.7241962,3823,81.0
1701723604.411531,3839,78.0
1701723620.029438,3848,82.5
1701723621.778036,3850,76.5
1701723630.3816996,3860,79.25
1701723638.0435834,3869,84.5
1701723640.583239,3872,73.5
1701723682.541423,3902,85.0
1701723687.7106876,3908,81.0
1701723690.2634609,3911,78.75
1701723693.6966338,3915,82.0
1701723698.7896664,3921,77.5
1701723715.9908128,3931,78.0
1701723717.7697008,3933,80.25
1701723720.3670318,3936,83.5
1701723743.0582314,3953,80.0
1701723746.497961,3957,78.25
1701723754.22616,3966,81.0
1701723761.9298847,3975,77.75
1701723774.7765121,3981,75.5
1701723779.0998774,3986,78.75
1701723805.6387186,4008,77.5
1701723809.14351,4012,80.75
1701723810.8892817,4014,75.0
1701723818.641606,4023,78.75
1701723822.9141872,4028,78.0
1701723836.3821683,4034,77.75
1701723841.5614498,4040,79.5
1701723847.5530348,4047,74.5
1701723895.4444962,4084,77.75
1701723898.895429,4088,82.25
1701723902.3182733,4092,79.5
1701723924.3976583,4109,75.75
1701723929.5481577,4115,77.25
1701723934.7238524,4121,75.0
1701723937.2790027,4124,75.75
1701723964.2514648,4146,78.0
1701723972.7512667,4156,78.5
1701723990.3319526,4167,76.75
1701723998.890894,4177,77.25
1701723999.73232,4178,78.25
1701724002.2751167,4181,69.0
1701724021.0873868,4192,75.5
1701724033.8989196,4207,71.75
1701724053.9025817,4221,74.25
1701724059.0432184,4227,75.5
1701724060.7560437,4229,75.25
1701724066.677658,4236,77.25
1701724083.8751621,4246,75.25
1701724086.438205,4249,69.5
1701724088.9911475,4252,74.25
1701724089.8244112,4253,74.5
1701724093.243795,4257,71.0
1701724121.3141115,4280,68.75
1701724122.1961129,4281,73.5
1701724144.796296,4298,77.5
1701724171.0660968,4318,73.0
1701724175.5038764,4323,71.5
1701724179.987029,4328,71.5
1701724185.1339889,4334,74.25
1701724200.9779868,4343,72.75
1701724237.638748,4376,71.25
1701724240.2464025,4379,82.5
1701724263.1214032,4395,73.5
1701724270.0549502,4403,78.5
1701724273.482079,4407,74.25
1701724276.0248747,4410,75.5
1701724278.576776,4413,76.5
1701724279.4475274,4414,74.75
1701724294.5444076,4422,71.5
1701724296.35646,4424,73.5
1701724305.8307784,4435,74.75
1701724312.6361923,4443,73.25
1701724330.5468147,4454,78.75
1701724333.9862366,4458,75.75
1701724340.8225868,4466,76.75
1701724368.4135897,4489,76.75
1701724373.5204763,4495,76.0
1701724384.6646528,4499,78.75
1701724397.5328727,4514,83.0
1701724402.6915722,4520,77.5
1701724405.2280407,4523,76.5
1701724416.4616783,4525,80.25
1701724422.5847273,4532,83.0
1701724425.1867795,4535,81.0
1701724428.5917602,4539,79.5
1701724432.0027778,4543,73.0
1701724432.8444803,4544,81.75
1701724456.5088923,4562,76.25
1701724458.2030723,4564,78.25
1701724461.6273031,4568,80.25
1701724466.728094,4574,74.5
1701724481.925308,4582,79.25
1701724490.4691317,4592,74.5
1701724510.1075652,4606,83.25
1701724512.8795211,4609,80.5
1701724515.4856644,4612,79.25
1701724555.4888704,4649,76.75
1701724567.5304081,4654,79.75
1701724570.9883287,4658,78.25
1701724571.836631,4659,76.5
1701724574.4547145,4662,78.0
1701724578.7343166,4667,76.5
1701724588.1092181,4678,77.25
1701724602.7798767,4686,78.25
1701724606.254078,4690,79.75
1701724607.964447,4692,76.25
